document_id,authority,original_filename,original_stem,original_extension,original_relative_path
KSA_076,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_last_onder_dwangsom_bankgiro_loterij_n_v.md,KSA__https___kansspelautoriteit.nl_sites_default_files_last_onder_dwangsom_bankgiro_loterij_n_v,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_last_onder_dwangsom_bankgiro_loterij_n_v.md
KSA_077,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_last_onder_dwangsom_cafe_restaurant_de_kruik.md,KSA__https___kansspelautoriteit.nl_sites_default_files_last_onder_dwangsom_cafe_restaurant_de_kruik,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_last_onder_dwangsom_cafe_restaurant_de_kruik.md
KSA_078,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_last_onder_dwangsom_dolle_pret_in_almelo.md,KSA__https___kansspelautoriteit.nl_sites_default_files_last_onder_dwangsom_dolle_pret_in_almelo,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_last_onder_dwangsom_dolle_pret_in_almelo.md
KSA_079,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_last_onder_dwangsom_onlinecasinobonus_nl.md,KSA__https___kansspelautoriteit.nl_sites_default_files_last_onder_dwangsom_onlinecasinobonus_nl,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_last_onder_dwangsom_onlinecasinobonus_nl.md
KSA_080,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_leftlanepapi_18474_lod_20250618.md,KSA__https___kansspelautoriteit.nl_sites_default_files_leftlanepapi_18474_lod_20250618,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_leftlanepapi_18474_lod_20250618.md
KSA_081,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_lod_14440-01-312-796.md,KSA__https___kansspelautoriteit.nl_sites_default_files_lod_14440-01-312-796,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_lod_14440-01-312-796.md
KSA_082,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_openbaar_-_beslissing_op_bezwaar_ill_en_gig.md,KSA__https___kansspelautoriteit.nl_sites_default_files_openbaar_-_beslissing_op_bezwaar_ill_en_gig,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_openbaar_-_beslissing_op_bezwaar_ill_en_gig.md
KSA_083,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_openbaar_-_last_onder_dwangsom_ill.md,KSA__https___kansspelautoriteit.nl_sites_default_files_openbaar_-_last_onder_dwangsom_ill,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_openbaar_-_last_onder_dwangsom_ill.md
KSA_084,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_futgalaxy_openbaar.md,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_futgalaxy_openbaar,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_futgalaxy_openbaar.md
KSA_085,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_imperial_e-club_limited.md,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_imperial_e-club_limited,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_imperial_e-club_limited.md
KSA_086,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_joi_gaming_ltd_10_januari_2023_.md,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_joi_gaming_ltd_10_januari_2023_,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_joi_gaming_ltd_10_januari_2023_.md
KSA_087,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_koffiehuis_vadi_-_openbaar.md,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_koffiehuis_vadi_-_openbaar,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_koffiehuis_vadi_-_openbaar.md
KSA_088,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_lcs_limited.md,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_lcs_limited,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_lcs_limited.md
KSA_089,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_redslots.md,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_redslots,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_redslots.md
KSA_090,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_schinveld_bv.md,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_schinveld_bv,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_schinveld_bv.md
KSA_091,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_thee-_en_koffiehuis_kayseri.md,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_thee-_en_koffiehuis_kayseri,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_thee-_en_koffiehuis_kayseri.md
KSA_092,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_trustfulgames.md,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_trustfulgames,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_trustfulgames.md
KSA_093,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_villa_mountain_view.md,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_villa_mountain_view,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_villa_mountain_view.md
KSA_094,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_wedwinkel.md,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_wedwinkel,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_wedwinkel.md
KSA_095,KSA,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_whg.md,KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_whg,.md,full_text\KSA__https___kansspelautoriteit.nl_sites_default_files_sanctiebesluit_whg.md
